name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,solar_system_name,planet_radius,pl_orbsmax,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_met,st_logg,sy_vmag,sy_kmag,sy_gaiamag,releasedate
0,11 Comae Berenices b,305.0,19.4 Jupiters,4.74,2007,,,,,,,,,,,,,,,,,,
1,11 Ursae Minoris b,410.0,14.74 Jupiters,5.016,2009,11 Com,,1.21,,5434.7,17.1,,,,0.0,,,,,4.72307,2.282,4.44038,2014-07-23
2,14 Andromedae b,247.0,4.8 Jupiters,5.227,2008,,,,,,,,,,,,,,,,,,
3,14 Herculis b,59.0,4.66 Jupiters,6.61,2002,11 UMi,516.22,1.54,,3337.07,10.5,0.08,,,0.0,4340.0,24.08,0.04,1.6,5.013,1.939,4.56216,2014-05-14
4,16 Cygni B b,69.0,1.78 Jupiters,6.25,1996,,,,,,,,,,,,,,,,,,
5,18 Delphini b,249.0,10.3 Jupiters,5.506,2008,11 UMi,,1.51,,3432.4,10.8,,,,0.0,,,,,5.013,1.939,4.56216,2014-07-23
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,12.057,2008,,,,,,,,,,,,,,,,,,
7,24 Bootis b,314.0,0.91 Jupiters,5.58,2018,14 And,,0.68,,1017.0,3.2,,,,0.0,,,,,5.23133,2.331,4.91781,2014-07-23
8,24 Sextantis b,236.0,1.99 Jupiters,6.441,2010,,,,,,,,,,,,,,,,,,
9,24 Sextantis c,236.0,0.86 Jupiters,6.441,2010,14 Her,,2.73,,1440.663,4.533,0.357,,,0.0,,,,,6.61935,4.714,6.383,2014-08-21
10,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,,2013,,,,,,,,,,,,,,,,,,
11,2MASS J01225093-2439505 b,117.0,24.5 Jupiters,14.24,2013,14 Her,1796.4,2.8,,1506.45,4.74,0.338,,,0.0,5255.0,,0.51,4.4,6.61935,4.714,6.383,2014-08-21
12,2MASS J02192210-3925225 b,129.0,13.9 Jupiters,15.012,2015,,,,,,,,,,,,,,,,,,
13,2MASS J04414489+2301513 b,457.0,7.5 Jupiters,18.967,2010,14 Her,1724.0,2.82,,1554.12,4.89,0.37,,,0.0,,,0.35,,6.61935,4.714,6.383,2014-08-21
14,2MASS J12073346-3932539 b,210.0,4 Jupiters,20.15,2004,,,,,,,,,,,,,,,,,,
15,2MASS J19383260+4603591 b,1307.0,1.9 Jupiters,12.138,2015,14 Her,1766.41,2.83,,1541.46777,4.85,0.3674,,,0.0,5314.94,1.0,0.405,4.43,6.61935,4.714,6.383,2021-06-28
16,2MASS J21402931+1625183 A b,82.0,20.95 Jupiters,17.396,2009,,,,,,,,,,,,,,,,,,
